id,name
9037,抑郁
9038,焦虑
9039,疲惫
9040,轻生
9041,紧张
9042,低落
9043,惊恐
9044,刺激
9045,情绪低落
9046,坐立不安
9047,上火
9048,多梦
9049,社交恐惧
9050,恐惧
9051,油腻
9052,头痛
9053,眩晕
9054,头晕
9055,意识丧失
9056,咽部异物感
9057,来气
9058,害怕
9059,担心
9060,冰凉
9061,干燥
9062,难耐
9063,想不开
9064,暴躁
9065,头疼
9066,迷迷糊糊
9067,迷糊
9068,急躁
9069,孤独
9070,心烦意乱
9071,不安
9072,易醒
9073,易哭
9074,四肢无力
9075,疲倦
9076,昏沉
9077,烦躁
9078,迷茫
9079,消极
9080,自残
9081,想死
9082,气闷
9083,入睡困难
9084,不满
9085,拘谨
9086,惊醒
9087,焦躁
9088,闷热
9089,痛苦
9090,惊恐发作
9091,精神不振
9092,哭闹
9093,憋闷
9094,无聊
9095,神经功能失调
9096,无助
9097,噩梦
9098,生气
9099,闷气
9100,恐慌
9101,难过
9102,爆发
9103,眼泪
9104,揪心
9105,心烦
9106,伤心
9107,堵心
9108,压抑
9109,面红耳赤
9110,头重脚轻
9111,折磨
9112,死去活来
9113,燥热
9114,发慌
9115,心急
9116,头昏脑胀
9117,精神萎靡
9118,记忆力下降
9119,不愉快
9120,不甘心
9121,焦虑不安
9122,失眠多梦
9123,后怕
9124,崩溃
9125,易怒
9126,注意力不集中
9127,惊吓
9128,憎恨
9129,情感淡漠
9130,哀乐
9131,羞愧
9132,心痛
9133,忧郁
9134,紧箍咒
9135,发脾气
9136,自杀
9137,发怒
9138,烦恼
9139,鼾症
9140,郁郁寡欢
9141,苦难
9142,心疼
9143,精神紧张
9144,烦燥
9145,不得劲
9146,恐怖
9147,绝望
9148,强迫观念
9149,心酸
9150,心神不宁
9151,苦水
9152,急死
9153,精神恍惚
9154,忧虑
9155,担忧
9156,惶惶不安
9157,灰暗
9158,心慌意乱
9159,烦躁不安
9160,食欲下降
9161,暴饮暴食
9162,对不起
9163,去死
9164,艰苦
9165,衰退
9166,暴怒
9167,易激惹
9168,厌烦
9169,自卑
9170,瞧不起
9171,幻觉
9172,迫害妄想
9173,神志不清
9174,积郁
9175,抓狂
9176,分裂
9177,可怕
9178,无奈
9179,无辜
9180,并发症
9181,愤怒
9182,悲伤
9183,小心
9184,翻来覆去
9185,敌对
9186,打击
9187,抵触
9188,沉迷
9189,痛恶
9190,白眼
9191,烦心
9192,不想活
9193,憋屈
9194,看不起
9195,畏惧
9196,不真实感
9197,厌世
9198,自责
9199,丢丑
9200,无精打采
9201,遭受
9202,伤害
9203,苦恼
9204,沮丧
9205,干瞪眼
9206,不快
9207,手足无措
9208,力不从心
9209,哭泣
9210,怨恨
9211,钻心
9212,叹气
9213,心急如焚
9214,顾虑
9215,坐卧不安
9216,出气
9217,失落
